,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,surge_pct,trips_in_first_30_days,weekday_pct,total_days_january,churn,city_Astapor,city_King's Landing,phone_Android,phone_iPhone,luxury_car_user_True
0,6.94,5.0,5.0,1.0,0.0,0,100.0,12,1,1,0,1,0,0
1,8.06,5.0,5.0,1.0,0.0,2,0.0,25,1,1,0,1,0,1
2,21.5,4.0,4.9,1.0,0.0,1,100.0,2,1,0,0,0,1,1
3,9.46,5.0,4.9,2.75,100.0,1,100.0,9,1,0,0,1,0,0
4,13.77,5.0,4.9,1.0,0.0,0,100.0,31,1,0,0,0,1,0
5,14.51,5.0,4.9,1.0,0.0,0,100.0,29,1,1,0,0,1,1
6,4.87,4.7,4.0,1.0,0.0,0,66.7,18,1,1,0,1,0,0
7,1.78,4.0,5.0,1.0,0.0,3,0.0,11,1,0,0,0,1,0
8,6.87,5.0,4.7,1.0,0.0,3,66.7,1,1,1,0,1,0,0
9,2.41,5.0,3.0,1.0,0.0,1,100.0,28,1,0,0,0,1,0
10,3.96,5.0,4.9,2.0,100.0,1,0.0,18,1,0,0,0,1,0
11,17.04,5.0,4.9,1.0,0.0,0,100.0,26,1,0,0,1,0,1
12,5.42,4.7,5.0,1.0,0.0,2,33.3,5,0,1,0,0,1,1
13,5.02,5.0,5.0,1.0,0.0,1,0.0,19,1,1,0,1,0,0
14,4.28,5.0,4.0,1.15,20.0,2,40.0,14,0,0,0,1,0,0
15,3.4,5.0,5.0,1.0,0.0,1,100.0,16,1,1,0,1,0,1
16,6.74,4.8,3.7,1.02,9.1,2,54.5,25,1,0,0,0,1,0
17,7.27,4.8,4.0,1.0,0.0,1,75.0,7,1,0,0,0,1,0
18,2.72,4.7,4.5,1.0,0.0,1,33.3,10,1,1,0,0,1,0
19,5.94,5.0,5.0,1.0,0.0,1,100.0,26,1,1,0,0,1,1
20,17.34,5.0,5.0,1.0,0.0,1,100.0,14,1,0,0,1,0,1
21,3.31,4.8,3.7,1.02,2.6,9,47.4,28,1,0,1,0,1,0
22,2.69,4.3,5.0,1.0,0.0,0,0.0,15,1,0,0,0,1,0
23,6.0,5.0,4.9,1.0,0.0,1,100.0,7,1,0,0,0,1,0
24,4.96,5.0,5.0,1.0,0.0,1,100.0,26,1,0,0,0,1,0
25,11.44,4.6,4.7,1.0,0.0,6,31.4,25,0,1,0,0,1,1
26,0.05,5.0,5.0,1.0,0.0,1,0.0,12,1,0,0,1,0,0
27,3.7,4.6,5.0,1.0,0.0,2,40.0,4,1,0,0,0,1,0
28,3.89,5.0,4.0,1.0,0.0,0,0.0,3,1,1,0,0,1,0
29,4.7,4.8,3.3,1.0,0.0,4,25.0,6,1,1,0,1,0,0
30,2.49,4.9,4.7,1.11,14.3,2,78.6,9,0,0,1,1,0,1
31,1.45,4.8,3.6,1.2,28.6,2,57.1,25,0,1,0,0,1,1
32,25.18,5.0,4.9,1.0,0.0,0,50.0,24,1,1,0,0,1,0
33,1.84,4.9,4.0,1.03,11.1,4,33.3,31,0,0,0,0,1,1
34,2.89,5.0,5.0,1.0,0.0,0,0.0,22,0,1,0,1,0,0
35,5.55,5.0,5.0,1.0,0.0,2,50.0,6,1,1,0,0,1,1
36,10.58,5.0,4.3,1.03,11.1,2,88.9,2,0,1,0,0,1,0
37,7.78,4.6,4.9,1.14,28.6,1,57.1,1,0,0,0,1,0,0
38,4.01,4.4,5.0,1.0,0.0,2,63.6,24,0,0,0,0,1,1
39,2.81,4.8,4.6,1.07,11.1,5,59.3,25,0,0,0,0,1,0
40,2.87,5.0,5.0,1.0,0.0,0,50.0,26,0,0,0,0,1,0
41,3.4,5.0,5.0,1.13,37.5,4,87.5,11,1,1,0,0,1,0
42,0.43,3.0,4.0,1.0,0.0,1,100.0,24,1,0,0,1,0,0
43,0.87,5.0,4.0,1.0,0.0,1,100.0,1,1,1,0,1,0,0
44,3.92,4.4,4.0,2.0,60.0,0,0.0,31,0,0,0,0,1,0
45,6.86,5.0,5.0,1.25,50.0,0,0.0,25,1,0,0,1,0,0
46,11.03,5.0,5.0,1.0,0.0,3,100.0,20,1,1,0,0,1,0
47,0.85,5.0,5.0,3.0,100.0,0,100.0,10,1,0,0,0,1,0
48,1.43,4.5,3.8,1.0,0.0,3,52.4,1,0,0,1,0,1,1
49,2.35,5.0,4.0,1.0,0.0,0,0.0,28,1,1,0,0,1,1
50,5.6,4.8,4.1,1.09,18.2,4,57.6,25,0,0,1,0,1,1
51,1.44,5.0,5.0,1.0,0.0,1,0.0,19,1,0,0,0,1,1
52,4.41,5.0,4.9,1.0,0.0,0,0.0,1,0,0,0,0,1,0
53,3.11,4.7,4.5,1.19,29.4,0,76.5,6,0,0,0,0,1,0
54,2.23,4.5,4.0,1.0,0.0,0,0.0,5,1,0,0,0,1,0
55,1.95,5.0,5.0,1.0,0.0,2,0.0,25,1,1,0,0,1,1
56,24.17,5.0,4.9,1.0,0.0,0,100.0,14,1,0,0,1,0,1
57,9.91,4.0,5.0,1.06,25.0,0,100.0,3,0,0,0,0,1,1
58,12.37,4.0,1.0,1.0,0.0,0,50.0,29,1,0,0,0,1,0
59,1.97,5.0,4.0,1.0,0.0,2,80.0,24,1,1,0,0,1,0
60,11.62,4.0,4.0,1.0,0.0,0,100.0,30,1,0,0,0,1,0
61,7.79,5.0,4.9,1.0,0.0,1,0.0,26,1,0,0,0,1,0
62,37.64,5.0,4.9,1.0,0.0,0,0.0,29,1,0,1,0,1,0
63,4.13,5.0,5.0,1.0,0.0,0,50.0,8,1,1,0,0,1,0
64,4.95,4.9,4.7,1.0,0.0,0,100.0,14,0,1,0,1,0,1
65,1.97,4.4,5.0,1.0,0.0,0,80.0,7,1,0,0,0,1,0
66,4.99,5.0,4.3,1.33,33.3,6,16.7,20,1,0,1,0,1,1
67,13.59,5.0,4.5,1.0,0.0,1,50.0,26,0,0,1,0,1,0
68,6.93,5.0,5.0,1.0,0.0,1,40.0,24,0,0,1,0,1,0
69,1.82,4.7,4.4,1.1,9.8,10,80.5,16,0,0,0,0,1,1
70,43.73,5.0,4.9,1.0,0.0,1,0.0,11,1,0,0,0,1,1
71,6.03,5.0,4.3,1.05,10.0,2,40.0,19,0,0,0,0,1,1
72,2.6,3.8,4.0,1.2,20.0,0,40.0,27,1,0,0,0,1,1
73,3.37,5.0,4.9,1.0,0.0,1,0.0,12,1,1,0,0,1,1
74,1.57,5.0,5.0,1.25,50.0,2,100.0,9,1,0,0,0,1,0
75,5.34,5.0,5.0,1.0,0.0,0,0.0,15,1,0,1,0,1,0
76,4.77,5.0,3.7,1.0,0.0,0,33.3,8,1,0,0,0,1,0
77,2.06,4.9,4.9,1.16,25.0,1,50.0,6,1,0,1,1,0,0
78,2.69,4.4,4.0,1.5,40.0,1,60.0,27,0,1,0,0,1,0
79,1.92,4.3,3.7,1.0,0.0,6,68.0,2,0,0,0,1,0,0
80,1.86,4.9,5.0,1.0,0.0,2,56.3,4,0,0,0,1,0,0
81,1.55,4.6,5.0,1.16,13.6,4,63.6,22,0,1,0,0,1,0
82,1.93,4.2,5.0,1.25,33.3,12,72.2,26,1,1,0,1,0,1
83,6.73,5.0,3.5,1.0,0.0,1,83.3,24,0,0,0,0,1,1
84,1.71,4.4,5.0,1.0,0.0,6,87.5,31,1,1,0,0,1,0
85,8.99,5.0,5.0,1.0,0.0,1,50.0,23,1,0,0,1,0,0
86,3.62,4.8,4.3,1.0,0.0,2,55.6,15,0,1,0,1,0,0
87,5.66,5.0,4.8,1.0,0.0,2,50.0,17,0,0,0,1,0,1
88,4.86,4.8,4.0,1.0,0.0,1,55.6,6,0,0,0,0,1,0
89,5.11,3.0,4.9,3.25,100.0,1,0.0,25,1,1,0,0,1,0
90,2.11,4.4,4.0,1.0,0.0,3,0.0,25,1,0,0,0,1,0
91,2.41,4.9,4.7,1.25,25.0,3,50.0,31,1,1,0,0,1,0
92,0.63,5.0,5.0,1.0,0.0,2,100.0,30,1,0,0,0,1,0
93,14.55,4.7,4.8,1.04,5.6,27,73.2,14,0,0,0,0,1,1
94,2.68,5.0,4.0,1.75,50.0,2,0.0,4,1,0,1,0,1,0
95,7.29,5.0,4.5,1.03,12.5,1,50.0,18,0,1,0,0,1,1
96,2.22,5.0,4.8,1.03,11.1,4,44.4,31,0,0,1,1,0,0
97,5.38,4.8,4.7,1.38,30.0,0,40.0,25,0,0,0,0,1,0
98,1.46,5.0,5.0,1.0,0.0,0,0.0,18,1,0,0,1,0,0
99,5.16,4.3,4.6,1.03,6.3,1,50.0,10,0,0,0,0,1,1
100,4.08,5.0,4.0,1.0,0.0,3,100.0,16,1,0,0,0,1,0
101,2.83,4.0,4.9,1.0,0.0,1,100.0,6,1,0,0,0,1,1
102,36.83,5.0,4.9,1.0,0.0,1,100.0,21,1,0,1,0,1,0
103,8.78,4.0,5.0,1.0,0.0,0,100.0,11,1,1,0,0,1,0
104,13.9,5.0,4.9,1.0,0.0,1,100.0,17,1,0,0,0,1,1
105,1.75,5.0,4.9,1.0,0.0,1,100.0,28,1,0,0,1,0,0
106,3.47,5.0,5.0,1.33,33.3,1,100.0,9,1,1,0,1,0,0
107,2.33,4.7,5.0,1.05,4.5,7,81.8,12,0,1,0,0,1,0
108,4.37,5.0,4.9,1.0,0.0,1,0.0,11,1,0,0,1,0,0
109,2.82,5.0,5.0,1.0,0.0,1,50.0,10,1,0,1,0,1,0
110,4.89,5.0,4.0,1.0,0.0,0,0.0,30,1,1,0,0,1,0
111,6.26,5.0,4.0,1.0,0.0,1,0.0,19,0,0,0,0,1,1
